Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
23.0,6.0,3,Others,4,Married,4,1,7.0,281.72,0
22.0,6.0,4,Grocery,3,Single,8,1,7.0,239.64,0
10.0,11.0,4,Laptop & Accessory,4,Married,9,0,3.0,176.31,0
1.0,21.0,5,Mobile Phone,4,Married,3,1,3.0,162.43,1
10.0,8.0,3,Laptop & Accessory,3,Divorced,5,1,0.0,196.02,0
4.0,13.0,4,Fashion,3,Divorced,2,0,9.0,189.43,0
8.0,6.0,3,Laptop & Accessory,3,Single,2,0,3.0,148.59,0
12.0,8.0,5,Mobile Phone,5,Single,6,0,1.0,153.58,0
1.0,9.0,4,Mobile Phone,5,Married,9,0,8.0,152.07,1
7.0,21.0,4,Mobile Phone,4,Married,3,0,7.0,152.56,0
19.0,36.0,4,Fashion,1,Married,6,1,,218.8,0
1.0,9.0,4,Mobile Phone,1,Married,2,0,2.0,150.23,0
10.0,25.0,4,Laptop & Accessory,2,Single,4,0,10.0,202.79,0
12.0,9.0,2,Laptop & Accessory,4,Divorced,10,0,6.0,163.89,0
9.0,7.0,4,Laptop & Accessory,3,Single,3,0,4.0,173.59,0
8.0,15.0,2,Laptop & Accessory,3,Married,3,0,9.0,192.99,0
12.0,8.0,4,Laptop & Accessory,1,Married,9,0,10.0,172.35,0
1.0,15.0,6,Mobile Phone,3,Divorced,3,0,3.0,171.21,0
28.0,12.0,4,Others,5,Married,6,0,3.0,319.06,0
2.0,7.0,6,Laptop & Accessory,2,Divorced,2,0,6.0,191.74,0
3.0,6.0,3,Mobile Phone,4,Married,2,0,7.0,137.48,0
4.0,17.0,5,Laptop & Accessory,3,Divorced,3,0,5.0,190.78,0
0.0,,4,Mobile,1,Single,2,1,1.0,123.88999999999999,1
14.0,17.0,5,Fashion,4,Married,4,0,,222.05,0
17.0,13.0,4,Fashion,1,Married,4,0,17.0,202.48,0
7.0,6.0,4,Fashion,3,Divorced,2,1,6.0,170.83,0
8.0,8.0,3,Laptop & Accessory,4,Single,6,0,2.0,144.25,0
16.0,9.0,4,Grocery,5,Divorced,2,0,8.0,301.65,0
20.0,8.0,2,Grocery,5,Single,3,0,13.0,300.67,0
2.0,19.0,4,Laptop & Accessory,4,Married,5,1,3.0,140.25,0
10.0,,3,Mobile,2,Divorced,2,1,2.0,123.25999999999999,0
29.0,33.0,2,Others,4,Married,6,1,5.0,321.36,0
1.0,7.0,5,Mobile Phone,4,Single,3,0,1.0,153.36,0
27.0,17.0,3,Grocery,1,Married,4,0,12.0,260.32,0
3.0,9.0,5,Mobile Phone,5,Single,4,1,1.0,161.46,1
0.0,10.0,1,Laptop & Accessory,4,Married,2,1,3.0,161.42,0
0.0,,3,Mobile,5,Married,2,0,2.0,125.0,0
10.0,17.0,3,Fashion,2,Married,2,1,,221.85000000000002,0
3.0,14.0,3,Fashion,3,Married,6,0,7.0,172.64,0
4.0,29.0,5,Laptop & Accessory,3,Divorced,4,1,1.0,188.8,1
11.0,8.0,5,Laptop & Accessory,1,Married,3,1,3.0,154.05,0
5.0,33.0,4,Mobile Phone,3,Married,3,0,4.0,154.11,0
14.0,9.0,5,Laptop & Accessory,3,Married,8,0,1.0,159.48,0
3.0,17.0,4,Mobile Phone,4,Married,2,0,2.0,157.91,0
,12.0,3,Mobile,3,Married,9,0,2.0,122.66999999999999,0
1.0,9.0,6,Mobile Phone,1,Married,7,1,3.0,159.64,1
31.0,10.0,5,Laptop & Accessory,2,Single,7,0,6.0,176.71,0
15.0,11.0,4,Mobile Phone,3,Divorced,11,1,8.0,149.61,1
1.0,16.0,5,Laptop & Accessory,5,Single,9,0,4.0,159.07,1
14.0,12.0,3,Fashion,3,Single,2,0,7.0,192.41,0
10.0,17.0,4,Fashion,5,Married,9,1,8.0,208.21,0
1.0,22.0,4,Mobile Phone,3,Divorced,3,0,3.0,151.1,1
,11.0,3,Mobile,3,Divorced,5,0,0.0,120.93,0
13.0,7.0,4,Others,3,Married,3,1,7.0,316.97,0
13.0,8.0,3,Others,3,Married,1,0,9.0,294.36,0
23.0,35.0,4,Grocery,3,Married,1,0,7.0,270.46,0
,9.0,3,Mobile Phone,4,Single,2,0,0.0,114.83000000000001,0
21.0,9.0,4,Mobile Phone,3,Single,6,0,1.0,149.79,1
5.0,8.0,1,Laptop & Accessory,1,Single,8,0,7.0,150.55,0
30.0,35.0,4,Grocery,2,Married,4,0,0.0,241.18,0
1.0,10.0,4,Mobile Phone,3,Single,3,0,1.0,139.2,1
15.0,11.0,3,Others,3,Divorced,7,0,0.0,283.03,0
20.0,7.0,4,Fashion,5,Married,9,0,,218.96,0
13.0,9.0,4,Fashion,3,Single,2,0,9.0,234.38,0
27.0,28.0,3,Grocery,3,Married,4,0,7.0,274.26,0
9.0,14.0,3,Laptop & Accessory,1,Married,5,0,7.0,150.79,0
11.0,7.0,4,Laptop & Accessory,4,Divorced,8,0,4.0,189.47,0
1.0,14.0,4,Laptop & Accessory,3,Married,3,0,2.0,173.83,1
1.0,32.0,6,Mobile Phone,3,Single,3,0,2.0,147.93,1
3.0,7.0,3,Mobile Phone,4,Married,1,1,7.0,135.79,0
26.0,6.0,4,Grocery,3,Married,5,1,,229.64999999999998,0
,14.0,3,Mobile Phone,3,Single,2,0,0.0,119.03999999999999,1
2.0,8.0,3,Mobile,4,Married,1,0,2.0,131.8,0
6.0,8.0,3,Laptop & Accessory,4,Single,9,0,7.0,151.47,0
22.0,36.0,4,Fashion,3,Married,5,0,1.0,250.04000000000002,0
27.0,7.0,4,Laptop & Accessory,5,Single,9,0,11.0,208.81,0
23.0,7.0,5,Grocery,3,Single,9,1,8.0,264.64,0
23.0,14.0,3,Mobile Phone,4,Divorced,8,0,2.0,138.75,0
4.0,11.0,5,Laptop & Accessory,4,Married,3,1,8.0,177.09,0
,14.0,5,Mobile,5,Divorced,2,1,7.0,121.19,1
1.0,8.0,4,Mobile Phone,3,Single,2,0,3.0,158.75,0
1.0,12.0,5,Fashion,1,Married,3,1,9.0,253.07999999999998,0
19.0,9.0,6,Laptop & Accessory,3,Single,2,0,2.0,191.32,0
14.0,16.0,4,Laptop & Accessory,3,Married,5,0,8.0,164.75,0
,16.0,4,Mobile Phone,5,Single,2,0,0.0,114.16,1
3.0,8.0,4,Mobile Phone,1,Married,3,0,3.0,162.6,0
,16.0,4,Mobile Phone,3,Single,2,0,0.0,112.0,0
28.0,10.0,3,Laptop & Accessory,3,Divorced,1,1,2.0,140.35,0
6.0,9.0,4,Mobile Phone,5,Single,3,0,3.0,149.39,0
16.0,19.0,4,Laptop & Accessory,1,Married,5,1,1.0,175.87,0
0.0,7.0,4,Laptop & Accessory,5,Married,2,0,7.0,197.14,1
5.0,18.0,3,Grocery,5,Single,1,1,14.0,237.57999999999998,1
26.0,30.0,1,Fashion,1,Married,4,0,2.0,170.05,0
26.0,13.0,3,Others,3,Married,4,0,7.0,286.06,0
5.0,11.0,3,Mobile,4,Single,3,0,7.0,127.18,0
,7.0,3,Mobile,3,Married,1,0,3.0,120.63999999999999,0
0.0,,5,Mobile,5,Single,1,0,0.0,123.25,1
0.0,11.0,4,Fashion,1,Married,2,1,,228.07999999999998,0
13.0,29.0,4,Fashion,5,Single,3,1,9.0,233.8,0
1.0,12.0,4,Mobile Phone,5,Single,3,1,3.0,148.8,0
21.0,6.0,4,Others,2,Single,7,0,0.0,282.65,0
,6.0,3,Mobile,3,Single,1,1,2.0,121.53999999999999,0
1.0,18.0,4,Mobile Phone,4,Divorced,3,0,3.0,147.44,0
22.0,8.0,5,Others,1,Single,8,0,1.0,307.65,0
2.0,16.0,4,Mobile Phone,2,Divorced,3,0,5.0,145.7,0
,28.0,5,Mobile Phone,3,Married,2,0,0.0,115.55000000000001,1
12.0,25.0,6,Laptop & Accessory,1,Married,5,1,1.0,183.11,0
,19.0,3,Mobile,4,Divorced,2,0,0.0,120.33000000000001,0
,23.0,4,Mobile,4,Divorced,2,0,0.0,121.27000000000001,0
1.0,7.0,4,Laptop & Accessory,3,Divorced,3,0,8.0,177.96,0
15.0,,3,Mobile,5,Married,4,0,2.0,125.75999999999999,0
11.0,,3,Mobile,5,Single,4,0,0.0,126.19,0
12.0,7.0,5,Fashion,3,Single,11,1,1.0,178.81,1
21.0,11.0,4,Laptop & Accessory,3,Single,5,0,1.0,154.76,0
3.0,35.0,5,Mobile Phone,5,Single,3,0,5.0,162.85,0
3.0,20.0,5,Laptop & Accessory,4,Married,6,1,4.0,165.25,0
17.0,13.0,3,Others,1,Married,1,1,10.0,290.49,0
0.0,,3,Mobile,1,Single,2,0,7.0,125.69999999999999,0
24.0,11.0,4,Others,4,Married,5,0,7.0,316.44,0
16.0,12.0,4,Mobile Phone,3,Divorced,6,0,1.0,145.93,0
19.0,21.0,3,Others,4,Divorced,6,0,3.0,290.81,0
11.0,8.0,3,Fashion,4,Single,8,0,0.0,173.51,0
15.0,8.0,4,Mobile Phone,4,Married,5,0,0.0,148.41,0
6.0,13.0,3,Laptop & Accessory,4,Divorced,1,0,2.0,143.02,0
5.0,14.0,4,Fashion,1,Single,3,1,11.0,196.43,0
15.0,12.0,2,Laptop & Accessory,4,Single,5,0,3.0,193.7,0
1.0,15.0,3,Laptop & Accessory,1,Single,2,0,7.0,152.53,0
1.0,18.0,5,Mobile Phone,5,Single,3,1,1.0,151.0,1
4.0,10.0,1,Mobile Phone,3,Married,9,0,2.0,139.78,0
28.0,14.0,4,Laptop & Accessory,1,Married,6,0,8.0,193.54,0
1.0,15.0,4,Fashion,3,Single,3,0,,212.26,0
13.0,31.0,5,Grocery,1,Married,2,0,7.0,245.31,0
9.0,15.0,2,Mobile Phone,1,Married,3,0,2.0,147.69,0
14.0,9.0,4,Mobile Phone,3,Married,4,0,3.0,148.45,0
0.0,,1,Mobile,1,Married,1,0,7.0,125.44,0
1.0,5.0,5,Mobile Phone,4,Married,3,0,1.0,150.96,1
0.0,16.0,4,Fashion,5,Married,10,0,0.0,203.06,1
3.0,30.0,4,Mobile Phone,2,Single,11,0,3.0,147.01,0
8.0,17.0,4,Mobile Phone,3,Married,3,1,1.0,163.15,0
11.0,14.0,4,Laptop & Accessory,5,Married,7,1,5.0,167.84,0
17.0,14.0,1,Mobile,2,Divorced,3,1,2.0,128.18,0
17.0,33.0,4,Grocery,1,Married,3,1,13.0,294.59,0
7.0,14.0,3,Laptop & Accessory,5,Divorced,6,0,2.0,165.0,0
0.0,10.0,3,Mobile,4,Single,2,0,2.0,132.95,0
1.0,16.0,4,Mobile Phone,5,Single,9,0,5.0,167.0,1
19.0,9.0,3,Grocery,4,Divorced,9,0,1.0,266.06,0
3.0,22.0,3,Laptop & Accessory,3,Divorced,9,0,2.0,153.01,0
14.0,8.0,3,Grocery,5,Divorced,8,0,8.0,265.95,0
28.0,8.0,4,Grocery,1,Single,8,0,8.0,298.28,0
28.0,12.0,4,Others,5,Divorced,6,0,3.0,319.06,0
1.0,15.0,2,Laptop & Accessory,4,Married,2,0,3.0,173.51,0
25.0,6.0,3,Grocery,2,Divorced,3,0,8.0,270.99,0
1.0,8.0,3,Laptop & Accessory,4,Married,5,0,4.0,148.55,1
3.0,16.0,4,Laptop & Accessory,3,Divorced,2,0,4.0,165.78,0
15.0,16.0,3,Mobile,3,Married,4,0,3.0,129.36,0
9.0,32.0,3,Laptop & Accessory,3,Married,7,0,2.0,153.47,0
12.0,17.0,4,Laptop & Accessory,3,Married,5,0,3.0,185.77,0
1.0,10.0,4,Laptop & Accessory,5,Divorced,3,1,4.0,166.94,0
5.0,9.0,4,Mobile Phone,2,Married,2,1,3.0,151.95,0
5.0,35.0,4,Mobile,4,Single,2,0,1.0,128.37,0
6.0,33.0,4,Laptop & Accessory,1,Married,2,0,3.0,169.65,0
18.0,14.0,4,Others,1,Married,2,1,11.0,315.49,0
13.0,15.0,4,Laptop & Accessory,1,Married,10,0,2.0,148.76,0
9.0,7.0,5,Mobile Phone,3,Married,8,0,8.0,147.58,0
9.0,32.0,5,Laptop & Accessory,2,Single,6,0,3.0,161.81,0
4.0,14.0,5,Mobile Phone,4,Married,3,0,2.0,146.41,0
8.0,14.0,3,Laptop & Accessory,3,Married,2,0,9.0,141.48,0
9.0,15.0,4,Laptop & Accessory,4,Married,3,1,2.0,188.47,0
1.0,7.0,4,Mobile Phone,1,Single,3,1,9.0,151.86,1
15.0,20.0,4,Laptop & Accessory,3,Single,8,0,3.0,162.44,0
24.0,15.0,3,Others,4,Married,5,1,10.0,298.47,0
24.0,13.0,4,Laptop & Accessory,3,Married,3,0,0.0,161.32,0
2.0,6.0,3,Fashion,1,Married,2,0,1.0,179.18,0
19.0,7.0,1,Grocery,5,Single,2,0,12.0,275.67,0
16.0,12.0,4,Laptop & Accessory,3,Single,2,1,8.0,140.81,0
21.0,16.0,4,Others,4,Married,5,0,9.0,296.65,0
2.0,8.0,3,Laptop & Accessory,1,Married,2,0,3.0,188.53,0
6.0,6.0,2,Grocery,3,Married,5,0,5.0,261.84,0
12.0,34.0,4,Laptop & Accessory,5,Single,4,0,3.0,142.84,1
30.0,18.0,5,Laptop & Accessory,5,Married,6,0,1.0,178.8,0
12.0,11.0,4,Mobile Phone,3,Married,9,0,1.0,158.06,0
8.0,,4,Mobile,3,Married,1,0,2.0,124.30000000000001,0
3.0,28.0,4,Laptop & Accessory,3,Married,3,1,0.0,163.8,1
11.0,32.0,5,Laptop & Accessory,1,Married,9,0,4.0,182.31,0
0.0,7.0,3,Mobile,3,Single,1,0,2.0,133.75,0
3.0,22.0,6,Mobile Phone,1,Married,2,1,4.0,146.68,0
1.0,16.0,4,Mobile Phone,5,Single,3,0,1.0,150.52,0
8.0,14.0,3,Mobile Phone,3,Single,2,0,4.0,143.23,0
4.0,7.0,5,Fashion,3,Single,3,0,,209.74,0
5.0,16.0,3,Mobile,3,Married,7,0,3.0,134.33,0
31.0,22.0,4,Grocery,3,Married,4,1,3.0,282.87,0
4.0,14.0,3,Grocery,4,Single,4,0,0.0,264.22,0
12.0,21.0,3,Grocery,5,Single,1,0,10.0,233.41000000000003,0
7.0,6.0,4,Mobile Phone,2,Divorced,2,1,3.0,136.22,0
12.0,30.0,3,Laptop & Accessory,1,Single,8,0,7.0,141.08,0
0.0,8.0,1,Mobile,5,Single,8,0,1.0,134.24,0
14.0,16.0,4,Laptop & Accessory,5,Married,2,0,2.0,179.73,0
18.0,8.0,4,Grocery,2,Divorced,10,0,8.0,267.92,0
,15.0,3,Mobile Phone,5,Married,2,0,0.0,117.9,1
11.0,26.0,4,Laptop & Accessory,3,Married,5,0,3.0,182.68,0
21.0,14.0,5,Fashion,5,Married,9,1,,225.08,1
9.0,9.0,4,Laptop & Accessory,4,Single,7,0,3.0,169.25,0
10.0,12.0,3,Laptop & Accessory,1,Married,5,0,1.0,165.02,0
8.0,17.0,4,Mobile Phone,4,Married,3,0,1.0,145.08,0
25.0,6.0,4,Others,3,Married,1,0,9.0,299.99,0
14.0,8.0,3,Grocery,4,Single,2,0,4.0,260.15,0
0.0,6.0,4,Laptop & Accessory,5,Married,2,0,7.0,197.14,1
1.0,16.0,5,Mobile Phone,3,Divorced,2,1,1.0,158.88,1
14.0,16.0,5,Laptop & Accessory,4,Single,2,0,9.0,161.51,0
11.0,16.0,3,Laptop & Accessory,3,Married,4,0,2.0,160.77,0
3.0,9.0,4,Mobile Phone,4,Married,2,0,3.0,156.8,0
0.0,28.0,4,Mobile,4,Married,2,0,0.0,128.63,1
19.0,36.0,4,Mobile Phone,1,Single,7,0,4.0,159.52,0
20.0,8.0,4,Mobile,1,Single,2,1,2.0,132.94,0
,7.0,4,Mobile,4,Married,1,0,2.0,122.69,0
28.0,29.0,4,Grocery,3,Married,5,0,8.0,299.26,0
,20.0,3,Mobile,5,Divorced,2,1,8.0,122.35,0
5.0,31.0,4,Laptop & Accessory,1,Single,4,0,5.0,177.38,0
0.0,6.0,3,Laptop & Accessory,3,Married,1,0,2.0,148.98,0
,30.0,4,Mobile,3,Single,6,1,3.0,120.28,1
15.0,,1,Laptop & Accessory,4,Divorced,7,1,0.0,123.72,0
0.0,30.0,5,Mobile Phone,2,Single,2,1,0.0,111.18,1
5.0,15.0,2,Mobile Phone,4,Single,11,0,3.0,146.09,0
5.0,10.0,4,Mobile Phone,5,Married,3,1,4.0,155.65,0
15.0,8.0,3,Grocery,5,Divorced,1,0,7.0,276.65,0
2.0,15.0,4,Mobile Phone,1,Single,3,0,3.0,158.1,0
1.0,15.0,3,Laptop & Accessory,4,Divorced,2,0,3.0,173.51,0
24.0,9.0,4,Others,3,Married,4,1,8.0,317.37,0
16.0,31.0,4,Fashion,5,Divorced,3,1,9.0,199.06,0
1.0,14.0,6,Laptop & Accessory,3,Single,3,1,7.0,185.74,1
0.0,11.0,3,Mobile,3,Single,2,1,0.0,128.51,1
29.0,15.0,3,Grocery,2,Divorced,8,0,,211.02999999999997,0
20.0,14.0,4,Laptop & Accessory,3,Divorced,4,0,1.0,177.58,0
20.0,11.0,3,Others,3,Divorced,5,0,1.0,283.0,0
7.0,9.0,5,Laptop & Accessory,5,Single,4,0,12.0,147.59,0
19.0,13.0,3,Laptop & Accessory,3,Divorced,3,0,0.0,152.58,0
9.0,10.0,4,Fashion,1,Married,8,0,9.0,203.23,0
13.0,8.0,1,Laptop & Accessory,4,Married,2,0,7.0,142.44,0
6.0,7.0,4,Laptop & Accessory,4,Married,3,0,10.0,187.2,0
10.0,16.0,4,Laptop & Accessory,2,Married,3,1,0.0,166.94,0
9.0,9.0,4,Mobile Phone,1,Married,3,0,3.0,145.14,0
1.0,15.0,6,Mobile Phone,5,Married,3,0,2.0,149.51,0
1.0,8.0,4,Mobile,4,Divorced,1,0,4.0,132.01,0
12.0,16.0,3,Laptop & Accessory,5,Married,3,0,7.0,153.77,0
5.0,7.0,3,Fashion,1,Married,2,0,7.0,204.22,0
8.0,14.0,4,Mobile Phone,3,Married,2,1,8.0,148.08,0
1.0,7.0,4,Laptop & Accessory,4,Married,3,0,5.0,188.97,0
0.0,14.0,1,Mobile,3,Married,8,0,2.0,135.17,0
16.0,15.0,3,Laptop & Accessory,3,Married,4,1,7.0,156.79,0
18.0,35.0,2,Grocery,2,Divorced,5,1,12.0,258.2,0
5.0,12.0,4,Laptop & Accessory,1,Married,3,0,3.0,179.76,0
6.0,10.0,3,Laptop & Accessory,4,Married,6,0,7.0,130.55,0
,11.0,3,Laptop & Accessory,1,Married,4,0,0.0,120.86000000000001,1
9.0,8.0,4,Fashion,3,Divorced,2,0,0.0,175.96,0
24.0,11.0,3,Grocery,4,Married,2,1,10.0,240.26,0
10.0,7.0,5,Laptop & Accessory,3,Married,2,0,3.0,168.74,0
22.0,9.0,3,Laptop & Accessory,4,Divorced,5,0,3.0,206.2,0
6.0,7.0,4,Mobile Phone,1,Married,2,0,3.0,148.14,0
3.0,9.0,4,Laptop & Accessory,3,Married,3,0,3.0,171.49,0
0.0,,3,Mobile,4,Single,2,1,0.0,124.72,1
0.0,,3,Mobile,4,Married,3,1,2.0,123.72999999999999,1
1.0,16.0,4,Mobile Phone,5,Single,4,1,1.0,156.72,1
5.0,10.0,3,Mobile Phone,4,Married,3,0,2.0,139.31,0
10.0,16.0,3,Laptop & Accessory,4,Single,3,1,1.0,141.97,0
27.0,25.0,3,Fashion,4,Divorced,3,0,1.0,207.25,0
0.0,8.0,3,Mobile Phone,3,Single,7,0,1.0,143.82,1
15.0,8.0,4,Laptop & Accessory,2,Single,4,0,0.0,167.81,0
5.0,8.0,3,Laptop & Accessory,4,Married,1,1,2.0,140.78,0
21.0,9.0,5,Mobile Phone,1,Married,11,1,1.0,148.8,1
14.0,9.0,4,Mobile Phone,3,Married,4,0,3.0,145.01,0
11.0,6.0,1,Mobile,3,Divorced,2,0,0.0,128.44,0
10.0,8.0,6,Fashion,5,Married,4,1,,227.52,0
14.0,9.0,4,Others,3,Married,2,0,13.0,305.41,0
0.0,10.0,4,Laptop & Accessory,2,Single,2,1,3.0,144.87,0
19.0,31.0,4,Mobile Phone,4,Single,3,0,5.0,146.77,0
3.0,21.0,4,Fashion,5,Married,3,0,7.0,171.4,0
11.0,6.0,4,Fashion,3,Single,10,1,0.0,153.81,1
3.0,18.0,3,Laptop & Accessory,3,Single,1,0,4.0,165.77,0
10.0,15.0,4,Laptop & Accessory,4,Married,2,0,3.0,141.89,0
21.0,13.0,3,Laptop & Accessory,5,Married,5,0,2.0,154.86,0
14.0,7.0,4,Laptop & Accessory,1,Married,6,0,4.0,190.13,0
9.0,14.0,1,Fashion,5,Married,10,0,,217.13,0
11.0,8.0,6,Laptop & Accessory,1,Married,3,0,,220.25,0
5.0,6.0,3,Mobile,5,Single,2,0,0.0,129.56,0
9.0,15.0,4,Mobile Phone,3,Single,3,0,5.0,168.23,0
28.0,10.0,4,Laptop & Accessory,5,Married,4,0,6.0,184.4,0
9.0,28.0,4,Laptop & Accessory,1,Married,3,1,8.0,165.14,0
24.0,6.0,4,Others,3,Married,6,1,1.0,318.31,0
0.0,31.0,4,Mobile,4,Single,5,1,2.0,123.13,1
4.0,11.0,3,Laptop & Accessory,5,Single,1,0,7.0,199.36,0
2.0,15.0,3,Mobile,3,Married,10,0,2.0,129.74,0
8.0,9.0,5,Mobile Phone,5,Single,3,0,4.0,168.81,0
1.0,12.0,4,Mobile,2,Single,3,0,1.0,135.51,0
31.0,25.0,4,Fashion,2,Single,8,0,,230.12,0
17.0,7.0,3,Mobile,1,Married,5,1,2.0,131.95,0
10.0,19.0,3,Laptop & Accessory,1,Married,2,0,7.0,142.85,0
1.0,20.0,4,Laptop & Accessory,5,Married,4,0,3.0,167.33,1
12.0,6.0,2,Fashion,2,Married,1,0,7.0,196.13,0
16.0,7.0,4,Mobile Phone,5,Married,5,0,3.0,150.76,0
6.0,15.0,5,Laptop & Accessory,4,Married,3,1,10.0,177.28,0
3.0,28.0,2,Fashion,5,Married,3,0,,224.8,0
9.0,15.0,4,Mobile Phone,2,Divorced,3,0,3.0,150.72,0
17.0,17.0,4,Mobile Phone,1,Single,2,0,8.0,149.55,0
12.0,17.0,3,Fashion,1,Married,2,0,7.0,176.54,1
16.0,33.0,3,Fashion,5,Married,9,0,1.0,208.2,0
0.0,,4,Mobile,1,Married,6,0,3.0,123.66999999999999,1
25.0,8.0,4,Mobile,2,Single,8,0,2.0,132.12,0
20.0,33.0,5,Laptop & Accessory,4,Single,10,0,3.0,204.91,0
12.0,12.0,1,Fashion,3,Married,3,0,6.0,182.37,0
7.0,9.0,3,Mobile Phone,2,Divorced,1,0,2.0,137.37,0
12.0,12.0,4,Fashion,5,Married,5,0,7.0,199.91,0
1.0,31.0,4,Mobile Phone,4,Married,3,1,1.0,149.08,1
18.0,10.0,3,Laptop & Accessory,4,Married,2,0,8.0,144.47,0
7.0,9.0,3,Laptop & Accessory,1,Single,1,0,4.0,177.56,0
14.0,31.0,4,Laptop & Accessory,2,Married,3,0,8.0,158.19,0
12.0,7.0,4,Fashion,5,Married,3,0,12.0,260.82,0
16.0,17.0,3,Fashion,3,Married,2,0,9.0,175.1,0
30.0,11.0,4,Fashion,4,Married,3,1,4.0,205.52,0
25.0,9.0,6,Laptop & Accessory,4,Married,7,0,3.0,179.82,0
7.0,23.0,4,Laptop & Accessory,1,Married,3,1,3.0,178.68,0
29.0,7.0,4,Others,5,Single,2,1,14.0,315.45,0
13.0,8.0,3,Others,3,Married,1,0,9.0,294.36,0
6.0,14.0,1,Mobile,5,Married,7,0,6.0,131.43,0
10.0,7.0,4,Laptop & Accessory,2,Single,6,0,1.0,191.53,0
1.0,36.0,5,Laptop & Accessory,3,Single,3,0,9.0,170.08,1
1.0,19.0,4,Mobile Phone,1,Single,3,0,5.0,151.47,0
23.0,23.0,4,Fashion,5,Married,6,0,11.0,232.69,0
4.0,35.0,4,Laptop & Accessory,1,Married,2,0,7.0,154.68,0
13.0,8.0,3,Others,3,Married,1,0,12.0,280.41,0
27.0,9.0,5,Fashion,4,Divorced,4,0,13.0,200.25,0
10.0,9.0,4,Laptop & Accessory,4,Married,6,1,1.0,194.62,0
31.0,13.0,4,Mobile Phone,3,Divorced,10,0,3.0,147.67,0
26.0,29.0,3,Grocery,1,Single,7,0,8.0,242.75,0
5.0,14.0,4,Fashion,2,Single,3,1,11.0,196.43,0
0.0,8.0,1,Laptop & Accessory,3,Single,1,0,7.0,165.0,0
,13.0,2,Mobile,2,Married,5,0,2.0,120.88999999999999,0
,26.0,3,Mobile,1,Married,2,0,2.0,121.57,0
4.0,16.0,4,Laptop & Accessory,5,Married,3,0,11.0,155.72,0
7.0,14.0,1,Laptop & Accessory,3,Married,2,0,8.0,167.99,0
0.0,10.0,5,Fashion,1,Married,2,0,8.0,204.0,1
11.0,,1,Mobile,3,Married,2,0,3.0,126.1,0
21.0,11.0,4,Laptop & Accessory,1,Single,3,1,8.0,166.63,0
60.0,27.0,3,Grocery,1,Married,5,1,0.0,278.75,0
16.0,,3,Mobile,1,Single,1,0,7.0,124.55000000000001,0
1.0,32.0,5,Mobile Phone,4,Divorced,7,0,2.0,150.46,1
13.0,25.0,3,Laptop & Accessory,1,Married,9,1,7.0,127.41,0
20.0,20.0,3,Laptop & Accessory,3,Married,4,1,2.0,145.91,0
4.0,7.0,5,Fashion,3,Single,3,0,,209.74,0
5.0,15.0,4,Grocery,4,Single,5,0,1.0,289.22,0
8.0,,4,Mobile,3,Married,1,0,2.0,124.30000000000001,0
22.0,24.0,3,Laptop & Accessory,2,Married,2,1,7.0,168.04,0
30.0,16.0,4,Mobile Phone,3,Divorced,4,0,4.0,154.42,0
14.0,12.0,3,Fashion,1,Single,4,1,0.0,235.91000000000003,0
1.0,28.0,4,Mobile Phone,3,Married,3,0,1.0,148.77,1
10.0,17.0,4,Fashion,1,Single,3,0,,224.8,0
1.0,11.0,3,Laptop & Accessory,1,Single,2,0,2.0,149.08,0
7.0,15.0,4,Laptop & Accessory,5,Married,4,0,3.0,188.92,0
0.0,13.0,4,Laptop & Accessory,5,Single,9,0,7.0,168.11,0
5.0,9.0,4,Mobile Phone,3,Married,2,0,3.0,155.67,0
11.0,9.0,4,Laptop & Accessory,3,Divorced,6,1,,221.02,0
11.0,12.0,4,Laptop & Accessory,1,Married,9,0,5.0,188.47,0
15.0,12.0,2,Mobile Phone,3,Married,4,1,4.0,146.27,0
,8.0,4,Mobile,3,Single,2,0,0.0,122.74000000000001,0
8.0,24.0,3,Laptop & Accessory,5,Married,1,0,4.0,0.0,0
,17.0,3,Mobile,4,Married,2,0,2.0,122.44,0
10.0,9.0,5,Fashion,3,Divorced,3,0,1.0,200.96,0
0.0,14.0,3,Laptop & Accessory,3,Married,1,1,4.0,149.07,0
12.0,9.0,5,Mobile Phone,4,Single,3,0,4.0,149.4,0
6.0,19.0,3,Mobile,1,Single,4,0,2.0,134.52,0
31.0,31.0,2,Fashion,1,Married,5,1,,219.39,0
10.0,33.0,1,Laptop & Accessory,3,Single,5,1,3.0,163.97,1
0.0,12.0,4,Mobile,2,Single,2,1,0.0,129.26,1
30.0,8.0,4,Grocery,2,Single,4,1,3.0,237.26,0
20.0,21.0,4,Mobile Phone,4,Divorced,11,1,4.0,174.63,1
17.0,,3,Mobile,1,Single,7,1,2.0,124.36000000000001,0
1.0,11.0,2,Mobile Phone,5,Married,4,0,3.0,153.19,0
29.0,15.0,3,Mobile,3,Married,3,0,3.0,129.42,0
0.0,,3,Mobile,4,Single,1,0,2.0,124.22,1
1.0,9.0,2,Laptop & Accessory,3,Married,3,0,8.0,177.06,0
11.0,9.0,5,Laptop & Accessory,1,Married,7,0,1.0,176.63,0
22.0,29.0,4,Grocery,1,Married,5,0,8.0,296.74,0
